state,code,region,totalInstitutions,totalFTE,totalFilesChecked,totalWYSIWYGChecked,totalAltFormats,avgAltFormatPerFTE,totalIndicatorClicks,totalFilesImproved
Alabama,AL,South,29,112744,2286423,3503157,13686,1.0200,1828,806
Alaska,AK,West,2,15844,372243,460455,33645,1.1500,6654,2494
Arizona,AZ,Southwest,4,159440,4908518,4038239,244900,1.1200,53470,22008
Arkansas,AR,South,12,63640,1070453,1859411,54002,1.0900,13092,4668
California,CA,West,75,978987,25423568,24145455,876678,1.2800,256744,120617
Colorado,CO,West,5,33515,1387695,1107177,19732,0.7000,8401,2708
Connecticut ,CT,New England,20,106245,2521818,2383658,294017,1.4500,29663,6065
District of Columbia,DC,Mid-Atlantic,3,28314,415168,890217,4285,1.1600,4227,2154
Delaware,DE,Mid-Atlantic,2,26988,723841,676038,25630,0.5600,8650,1851
Florida,FL,South,16,268686,8754728,6930206,217708,0.8100,90444,40172
Georgia,GA,South,27,140458,2221287,2065105,242144,1.6000,77375,44303
Idaho,ID,West,3,39008,526300,1019416,55747,0.7500,14097,7633
Illinois,IL,Mid-West,13,95263,1559125,1487175,99522,1.0900,21199,7837
Indiana ,IN,Mid-West,3,59370,4683806,4061474,33906,0.8300,26552,10091
Iowa,IA,Mid-West,3,26516,1370281,1590241,52456,0.7700,11108,4131
Kansas,KS,Mid-West,18,89715,2332923,2220545,125424,1.0300,46058,16979
Kentucky,KY,South,22,139635,3798540,2449783,232701,0.9100,50146,20045
Louisiana,LA,South,4,47577,186928,383283,7567,1.8900,965,103
Maine,ME,New England,2,4210,2343761,1781300,6934,1.6100,326,58
Maryland,MD,Mid-Atlantic,13,151378,1945290,1174783,93676,1.6800,11120,2770
Massachusetts,MA,New England,25,170433,1218526,2339981,265380,1.4600,23500,6849
Michigan,MI,Mid-West,10,129455,1716643,1372497,92056,1.2200,23168,5739
Missouri,MO,Mid-West,5,47063,1188829,1091343,133538,1.3200,14812,3745
Montana,MT,West,1,9144,137072,198904,4,0.0100,73,40
Nebraska,NE,Mid-West,4,17417,1060368,831272,21035,0.7000,7082,4277
Nevada,NV,West,3,43318,1379251,1180810,70755,0.8800,34842,14567
New Hampshire,NH,New England,1,2548,76079,150946,2,0.0100,0,0
New Mexico,NM,Southwest,1,21793,409501,573326,37662,1.6800,8529,3434
New York,NY,Mid-Atlantic,59,413505,6761631,5674125,749348,1.2700,80207,21738
New Jersey,NJ,Mid-Atlantic,24,151675,3902646,3646187,309804,1.6800,35220,8474
North Carolina,NC,South,57,234147,5130832,7727195,496160,1.3700,96472,34714
North Dakota,ND,Mid-West,11,37795,797936,823277,38016,0.4500,16478,6615
Ohio,OH,Mid-West,22,211988,6341903,6716327,252412,1.1200,40576,11633
Oklahoma,OK,Mid-West,9,41614,1067597,1185874,52850,1.1400,18410,7334
Oregon,OR,West,17,60987,1414727,1746836,70906,1.5300,13133,4573
Pennslyvania,PA,Mid-Atlantic,14,82749,2930296,2056059,91487,1.4900,14967,4871
Rhode Island,RI,New England,1,9114,131110,137762,34043,1.9400,2114,803
South Carolina,SC,South,24,105060,1848613,1687245,165359,0.9800,31902,11596
Tennessee,TN,South,9,39663,666619,694500,117239,3.0600,16960,3703
Texas,TX,Southwest,67,452274,16565503,12654933,822781,1.4400,404259,189622
Utah,UT,West,8,133677,6037531,5435135,152358,0.5700,68968,30299
Vermont,VT,New England,1,12990,201024,0,36875,1.6500,6223,1591
Virginia,VA,South,8,88023,2417074,2262072,44327,0.8700,10561,3105
Washington,WA,West,37,219403,12592579,11721326,301848,0.8100,107487,48194
West Virgina,WV,South,1,11895,187458,149835,23749,1.0800,1216,197
Wisconsin,WI,Mid-West,2,6849,159031,297169,3742,1.0900,2371,918
Wyoming,WY,West,1,1769,94579,76538,0,0.0000,0,0
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
